company,category,country,city,website,email,phone,status,audit_a,audit_a_reason,audit_b,audit_b_reason,source_url,notes
COSCO Shipping Lines,liner_operator,China,,,,,verified,confirmed,"Search budget exhausted; Shanghai, China-headquartered top-5 liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: COSCO Shipping Lines is headquartered in Shanghai, China, and is a top-4 container carrier.",https://en.portnews.ru/news/353665/,Alphaliner #4. HQ country from general knowledge (Shanghai).
A.P. Moller - Maersk,liner_operator,Denmark,,,,,verified,confirmed,"Search budget exhausted; Copenhagen, Denmark-headquartered liner giant, beyond doubt from established knowledge.",confirmed,"Well-established fact: Maersk is headquartered in Copenhagen, Denmark, and is a top-2 container carrier.",https://en.portnews.ru/news/353665/,Alphaliner #2; ~4.65M TEU. HQ country from general knowledge (Copenhagen).
CMA CGM,liner_operator,France,,,,,verified,confirmed,"Search budget exhausted; Marseille, France-headquartered top-3 liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: CMA CGM is headquartered in Marseille, France, and is a top-3 container carrier.",https://safety4sea.com/alphaliner-the-fastest-growing-container-shipping-lines-in-2026/,"Alphaliner #3; 4.39M TEU; fastest-growing top-10 carrier in H1 2026 (+235,500 TEU, +5.7%). HQ country from general knowledge (Marseille)."
Hapag-Lloyd,liner_operator,Germany,,,,,verified,confirmed,"Search budget exhausted; Hamburg, Germany-headquartered top-5 liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: Hapag-Lloyd is headquartered in Hamburg, Germany, and is a top-5 container carrier.",https://en.portnews.ru/news/353665/,Alphaliner #5. HQ country from general knowledge (Hamburg).
ZIM Integrated Shipping Services,liner_operator,Israel,Haifa,,,,verified,confirmed,"Search budget exhausted; Haifa, Israel-headquartered liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: ZIM is headquartered in Haifa, Israel.",https://en.portnews.ru/news/353665/,"Alphaliner #10. Search result stated HQ in Haifa, Israel (with US base in Norfolk, Virginia)."
Ocean Network Express (ONE),liner_operator,Singapore,,,,,verified,confirmed,"Search budget exhausted; Singapore-headquartered Japanese JV liner, beyond doubt from established knowledge.",confirmed,Well-established fact: ONE is a Japanese-owned JV (NYK/MOL/K Line) headquartered in Singapore.,https://en.portnews.ru/news/353665/,Alphaliner #6. HQ in Singapore (Japanese-owned JV) per general knowledge.
HMM,liner_operator,South Korea,,,,,verified,confirmed,"Search budget exhausted; Seoul, South Korea-headquartered liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: HMM (formerly Hyundai Merchant Marine) is headquartered in Seoul, South Korea.",https://en.portnews.ru/news/353665/,Alphaliner #8. HQ country from general knowledge (Seoul).
MSC (Mediterranean Shipping Company),liner_operator,Switzerland,,,,,verified,confirmed,"Search budget exhausted; world's largest container line, Geneva/Switzerland HQ is beyond doubt from established knowledge.",confirmed,"Well-established fact: MSC is the world's largest container line, headquartered in Geneva, Switzerland.",https://en.portnews.ru/news/353665/,"Alphaliner #1; ~7.33M TEU, ~21.6% of global fleet; first carrier to operate 1,000 ships (2026). HQ country from general knowledge (Geneva), not stated in search snippet."
Evergreen Marine,liner_operator,Taiwan,,,,,verified,confirmed,"Search budget exhausted; Taiwan-headquartered major liner, beyond doubt from established knowledge.",confirmed,Well-established fact: Evergreen Marine is headquartered in Taiwan (Taoyuan/Taipei area).,https://en.portnews.ru/news/353665/,Alphaliner #7. HQ country from general knowledge (Taipei).
Yang Ming Marine Transport,liner_operator,Taiwan,,,,,verified,confirmed,"Search budget exhausted; Keelung, Taiwan-headquartered liner, beyond doubt from established knowledge.",confirmed,"Well-established fact: Yang Ming is headquartered in Keelung, Taiwan.",https://en.portnews.ru/news/353665/,Alphaliner #9. HQ country from general knowledge (Keelung).
Heinlein Tramps,ship_agency,Argentina,,https://tramps.heinlein.com.ar,,,verified,confirmed,"Tramps division of Maritima Heinlein S.A., Buenos Aires shipping agency serving Argentine and Uruguayan ports; website tramps.heinlein.com.ar matches.",confirmed,"Tramps division of Maritima Heinlein S.A., Buenos Aires, Argentina; site and email domain heinlein.com.ar match.",https://tramps.heinlein.com.ar/en/node/132,Company page titled 'FONASBA Quality Standard Certification' surfaced in search results; Argentine agency (Centro de Navegacion member country).
ACGI Shipping Inc.,ship_agency,Canada,,https://www.acgi.ca/,,,verified,confirmed,"Vancouver BC based full-service ship agency (Anglo Canadian Shipping, est. 1932), listed by Chamber of Shipping Canada and Multiport.",confirmed,"Active ship agency headquartered in Burnaby, BC, Canada (formed 2009 from Anglo Canadian Shipping group); Canada inference correct.",http://docplayer.net/227892390-Fonasba-quality-standard-approvals-granted-fonasba-member-association.html,"Named in FONASBA Quality Standard approvals-granted document (ASBA section) surfaced in search results; country (Canada) inferred from general knowledge, not the search snippet."
